code,variant,radicalStroke,standard
A00033-004,󰁲,丿-05-06,乎
A02657-002,𤴓,一-05-06,疋
B03889-012-1,𧗘,艸-16-21,菹
C02690-002,呈,口-04-07,㞷
C17756-001,[img:C17756-001],鳥-08-19,𪅶
C02395-003,𡣎,女-14-17,㜪
A02004-002,椎,木-08-12,槌
A01112-011,嶽,山-14-17,岳
A00479-035,藂,艸-14-18,叢
N00044-001,冂,冂-00-02,冖
B06023-004,鱺,魚-19-30,鱧
A02829-005,𠃆,丿-12-13,砰
C09506-003,䒧,艸-05-09,𥬔
B05527-001,𥬔,竹-05-11,阹
A04556-006,穨,禾-14-19,頹
B05560-013,濕,水-14-17,隰
B06074-004,舊,臼-12-18,鵂
C04277-002,𢯈,手-08-11,[CTRL:U+0000]
N00518-001,玟,玉-04-08,珉
N00518-002,琝,玉-08-12,珉
C11061-003,𣎓,月-11-15,𣎓
A00005-001,丅,一-01-02,下
A03252-008,丂,一-01-02,考
A00007-001,丄,一-01-02,上
C00053-001,[img:C00053-001],一-01-02,𠄌
A00003-001,󰀂,一-01-02,七
A00009-004,󰀊,一-02-03,丐
A02471-001,󳡴,一-02-03,父
A00062-001,𠀅,一-02-03,亥
A02909-011,万,一-02-03,萬
A02416-046,󳚰,一-02-03,無
A00292-003,丌,一-02-03,其
A00468-003,󰪪,一-02-03,又
B00002-001,󷆙,一-02-03,丌
A03704-004,𠀄,一-02-03,衛
A03704-017,󵔺,一-02-03,衛
A00014-001,𠀃,一-02-03,且
A00319-001,𠀃,一-02-03,几
A01831-014,󲪷,一-02-03,曲
A00061-008,󰅂,一-02-03,亦
A00053-005-1,󰄘,一-02-03,互
A00012-010,󰀞,一-02-03,世
A01467-010,󲉎,一-02-03,戊
B00917-001,󷝛,一-03-04,巿
A01154-002,󱪬,一-03-04,己
A00009-005,󰀋,一-03-04,丐
A01151-009,󱪙,一-03-04,左
A00287-002,󰖹,一-03-04,兮
A00287-001,𠔃,一-03-04,兮
A00015-010,󰀮,一-03-04,丘
A00008-006,󰀉,一-03-04,丑
A04247-004,󰀉,一-03-04,醜
A00008-005,󰀈,一-03-04,丑
A00008-002,󰀇,一-03-04,丑
A03398-019,与,一-03-04,與
B00005-003,󷆜,一-03-04,与
B00005-005,󷆞,一-03-04,与
A01238-003,󱲩,一-03-04,廿
A02666-028,󱲩,一-03-04,疾
A00831-005,󱇶,一-03-04,士
A00059-007,󰄹,一-03-04,亡
A00008-003,丒,一-03-04,丑
A00014-002,𠀇,一-03-04,且
A00059-008,󰄺,一-03-04,亡
A00029-004,󰁝,一-03-04,之
A00015-008,𠀉,一-03-04,丘
A00015-001,𠀈,一-03-04,丘
A01062-011,󱠡,一-03-04,專
A01251-026,󱴍,一-03-04,弟
A02621-006,󳮹,一-03-04,甚
A00012-007,󰀛,一-03-04,世
A00266-006,󰔀,一-03-04,充
A00012-012,󰀟,一-03-04,世
A00006-002,󰀆,一-03-04,丈
A00006-001,𠀋,一-03-04,丈
A00481-005,󰬋,一-04-05,可
A00418-004,󰥑,一-04-05,匝
B00273-003,󷌤,一-04-05,卍
A00849-023-1,󱌒,一-04-05,天
A00011-001,󰀘,一-04-05,丙
A00011-002,󰀙,一-04-05,丙
B00005-004,󷆝,一-04-05,与
A00062-016,󰅏,一-04-05,亥
A02485-016,󳣮,一-04-05,牙
A00848-005,󱌄,一-04-05,大
A02416-024,󳚟,一-04-05,無
A01875-001,󲯕,一-04-05,東
A00010-008,󰀏,一-04-05,不
A01192-001,𠀒,一-04-05,平
A01192-005,󱬽,一-04-05,平
A00010-009,󰀐,一-04-05,不
A00010-007,󰀎,一-04-05,不
A02485-013,󰀎,一-04-05,牙
C02431-001,𠀔,一-04-05,孒
A02395-013,󳘲,一-04-05,為
A00287-005,󰖻,一-04-05,兮
A02409-019,󳙭,一-04-05,焉
A00015-011-2,󰀰,一-04-05,丘
A00012-001,[img:A00012-001],一-04-05,世
A01772-002,且,一-04-05,旦
